Symbol,earnings_date,EPS Estimate,Reported EPS,Surprise(%)
F,2024-10-28,0.47,0.49,4.26
F,2024-07-24,0.68,0.47,-31.15
F,2024-04-24,0.42,0.49,15.87
F,2024-02-06,0.14,0.29,113.72
F,2023-10-26,0.45,0.39,-13.8
F,2023-07-27,0.55,0.72,31.58
F,2023-05-02,0.41,0.63,52.75
F,2023-02-02,0.62,0.51,-18.05
F,2022-10-26,0.27,0.3,10.46
F,2022-07-27,0.45,0.68,52.01
F,2022-04-27,0.37,0.38,2.65
F,2022-02-03,0.45,0.26,-42.52
F,2021-10-27,0.27,0.51,89.63
F,2021-07-28,-0.03,0.13,498.9
F,2021-04-28,0.21,0.89,331.52
F,2021-02-04,-0.07,0.34,604.45
F,2020-10-28,0.19,0.65,237.79
F,2020-07-30,-1.17,-0.35,70.18
F,2020-04-28,-0.12,-0.23,-87.97
F,2020-02-04,0.15,0.12,-20.42
F,2019-10-23,0.26,0.34,31.01
F,2019-07-24,0.31,0.28,-8.36
F,2019-04-25,0.27,0.44,65.67
F,2019-01-23,0.32,0.3,-4.76
F,2018-10-24,0.28,0.29,4.47
F,2018-07-25,0.31,0.27,-13.49
F,2018-04-25,0.41,0.43,4.78
F,2018-01-24,0.42,0.39,-6.66
F,2017-10-26,0.32,0.43,32.51
F,2017-07-26,0.43,0.56,29.79
F,2017-04-27,0.35,0.39,12.74
F,2017-01-26,0.31,0.3,-3.44
F,2016-10-27,0.2,0.26,29.46
F,2016-07-28,0.6,0.52,-12.91
F,2016-04-28,0.48,0.68,43.03
F,2016-01-28,0.51,0.58,13.3
F,2015-10-27,0.46,0.45,-3.17
F,2015-07-28,0.37,0.47,27.98
F,2015-04-28,0.26,0.23,-11.54
F,2015-01-29,0.23,0.26,14.54
F,2014-10-24,0.19,0.24,25.65
F,2014-07-24,0.36,0.4,11.94
F,2014-04-25,0.31,0.25,-19.06
F,2014-01-28,0.28,0.31,9.79
F,2013-10-24,0.38,0.45,19.88
F,2013-07-24,0.37,0.45,22.49
F,2013-04-24,0.37,0.41,11.39
F,2013-01-29,0.25,0.31,22.3
F,2012-10-30,0.3,0.4,33.1
F,2012-07-25,0.28,0.3,6.9
F,2012-04-27,0.35,0.39,11.81
F,2012-01-27,0.25,0.2,-19.81
F,2011-10-26,0.44,0.46,4.15
F,2011-07-26,0.6,0.65,7.81
F,2011-04-26,0.5,0.62,24.62
F,2011-01-28,0.48,0.3,-37.96
F,2010-10-26,0.38,0.48,27.21
F,2010-07-23,0.4,0.68,68.2
F,2010-04-27,0.31,0.46,47.59
F,2010-01-28,0.26,0.43,65.38
F,2009-11-02,-0.12,0.26,321.5
F,2009-07-23,-0.48,-0.21,56.23
F,2009-04-24,-1.23,-0.75,39.07
F,2009-01-29,-1.3,-1.37,-5.22
F,2008-11-07,-0.94,-1.31,-39.36
F,2008-07-24,-0.27,-0.62,-130.34
F,2008-04-24,-0.16,0.2,227.45
F,2008-01-24,-0.19,-0.2,-7.92
F,2007-11-08,-0.46,-0.01,97.85
F,2007-07-26,-0.35,0.13,136.65
F,2007-04-26,-0.6,-0.09,84.95
F,2007-01-25,-1.01,-1.1,-9.38
F,2006-10-23,-0.61,-0.62,-1.75
F,2006-07-20,0.12,-0.03,-124.59
F,2006-04-21,0.25,0.24,-3.52
F,2006-01-23,0.01,0.26,2263.64
F,2005-10-20,-0.1,-0.1,-3.22
F,2005-07-19,0.33,0.47,41.89
F,2005-04-20,0.39,0.62,61.04
F,2005-01-20,0.27,0.28,5.09
F,2004-10-19,0.14,0.28,95.03
F,2004-07-20,0.5,0.61,22.33
F,2004-04-21,0.44,0.96,117.85
F,2004-01-22,0.28,0.31,9.87
F,2003-10-16,-0.11,0.15,233.13
F,2003-07-16,0.18,0.22,22.22
F,2003-04-16,0.22,0.45,108.98
F,2003-01-21,0.06,0.08,28.39
F,2002-10-16,0.04,0.12,236.89
F,2002-07-17,0.26,0.31,20.59
F,2002-04-17,-0.15,-0.06,58.8
F,2002-01-17,-0.5,-0.48,4.21
F,2001-10-17,-0.27,-0.28,-3.7
F,2001-07-18,-0.34,-0.3,11.76
F,2001-04-19,0.53,0.6,12.75
